age,class_of_worker,education,marital_status,race,sex,industry,capital_zscaled,binned_income
23,Private,High school graduate,Married, White, Female,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
26,Private,Bachelors degree(BA AB BS),Never married, White, Female,Hospitals/Health care,-0.15954615253005786, - 50000.
15,Private,Less than high school,Never married, White, Male,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
34,Private,High school graduate,Married, White, Male,Public administration/Education/Social assistance,-0.15954615253005786, - 50000.
37,Private,Bachelors degree(BA AB BS),Married, Other, Male,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
39,Self-employed,Bachelors degree(BA AB BS),Married, White, Male,Finance/Insurance/Real Estate,-1.2671745058017543, 50000+.
52,Self-employed,High school graduate,Married, White, Male,Public administration/Education/Social assistance,-0.15954615253005786, - 50000.
43,Private,High school graduate,Other, Black, Male,"Agriculture, Forestry, Fishing, Hunting, Mining",-0.15954615253005786, - 50000.
48,Government,Bachelors degree(BA AB BS),Married, White, Female,Other,-0.15954615253005786, 50000+.
36,Government,Graduate,Other, Asian or Pacific Islander, Female,Hospitals/Health care,-0.15954615253005786, - 50000.
29,Private,Some college/Vocational,Married, White, Male,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
47,Private,High school graduate,Married, White, Female,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
38,Private,Less than high school,Other, White, Male,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
59,Self-employed,High school graduate,Married, White, Male,"Agriculture, Forestry, Fishing, Hunting, Mining",-0.15954615253005786, 50000+.
34,Private,Bachelors degree(BA AB BS),Married, White, Male,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
65,Private,Less than high school,Married, White, Female,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
34,Private,Some college/Vocational,Married, White, Female,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
25,Private,High school graduate,Married, White, Female,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
56,Self-employed,Graduate,Married, White, Male,Hospitals/Health care,-0.15954615253005786, 50000+.
66,Self-employed,High school graduate,Married, White, Male,"Arts, Entertainment, and Recreation",-0.15954615253005786, - 50000.
26,Private,High school graduate,Married, White, Male,Construction,-0.15954615253005786, - 50000.
40,Private,Some college/Vocational,Married, Asian or Pacific Islander, Female,Hospitals/Health care,-0.15954615253005786, - 50000.
42,Private,Some college/Vocational,Married, White, Female,"Computer, Information",-0.15954615253005786, - 50000.
48,Private,High school graduate,Married, White, Female,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
38,Private,Some college/Vocational,Married, Black, Male,"Computer, Information",-0.15954615253005786, - 50000.
35,Private,Less than high school,Other, White, Male,Public administration/Education/Social assistance,-0.15954615253005786, - 50000.
36,Private,High school graduate,Married, White, Male,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
41,Government,Bachelors degree(BA AB BS),Other, White, Male,Public administration/Education/Social assistance,-0.15954615253005786, - 50000.
56,Government,High school graduate,Married, Black, Male,Utilities,-0.15954615253005786, 50000+.
40,Private,Some college/Vocational,Other, White, Male,Construction,-0.15954615253005786, - 50000.
59,Private,Less than high school,Married, White, Male,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
18,Private,Less than high school,Never married, White, Female,"Arts, Entertainment, and Recreation",-0.15954615253005786, - 50000.
48,Private,Bachelors degree(BA AB BS),Married, White, Male,Public administration/Education/Social assistance,1.6328396050624017, - 50000.
25,Private,High school graduate,Married, White, Male,Construction,-0.15954615253005786, - 50000.
15,Private,Less than high school,Never married, White, Male,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
38,Private,Bachelors degree(BA AB BS),Married, White, Male,Utilities,-0.15954615253005786, 50000+.
32,Private,Some college/Vocational,Married, White, Male,"Agriculture, Forestry, Fishing, Hunting, Mining",-0.15954615253005786, - 50000.
50,Private,Bachelors degree(BA AB BS),Married, White, Male,Hospitals/Health care,-0.15954615253005786, 50000+.
49,Private,Less than high school,Never married, White, Female,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
44,Private,High school graduate,Married, White, Female,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
